source_id,enabled,url_pattern,publisher,scope,topics,crops,license_note,notes
fao_mafap_burkina,true,https://www.fao.org/in-action/mafap/where-we-work/burkina-faso/*,FAO MAFAP,Burkina Faso,"policy, markets, food security, public expenditure",,unknown,"FAO Burkina Faso MAFAP country page; use for policy and market context, not field-level fertilizer doses."
fao_agrisurvey_burkina,true,https://www.fao.org/in-action/agrisurvey/access-to-data/burkina-faso/*,FAO AGRISurvey,Burkina Faso,"agricultural survey, rural livelihoods, production data",,unknown,"FAO AGRISurvey Burkina Faso access-to-data page; verify dataset definitions before using exact figures."
fao_country_profile_bfa,true,https://www.fao.org/countryprofiles/*iso3=bfa*,FAO Country Profiles,Burkina Faso,"country profile, agriculture statistics, food security",,unknown,"FAO country profile for Burkina Faso; use for high-level context only."
inter_reseaux_prosol_fertilite,true,https://www.inter-reseaux.org/wp-content/uploads/catalogue-afs-prosol-04-12-2020.pdf,ProSol / Inter-réseaux,Burkina Faso,"soil fertility, compost, manure, water and soil conservation","mil, sorgho, mais, niébé, arachide",unknown,"Already curated as active Markdown; allowlisted only for traceability or recrawl if needed."
bf_agriculture_ministry,true,https://www.agriculture.bf/*,Ministère en charge de l'Agriculture (Burkina Faso),Burkina Faso,"extension, policy, campaigns, official guidance","mil, sorgho, mais, niébé, arachide",unknown,"Official ministry site; scrape only public pages. Review carefully before promotion to RAG."
bf_agriculture_www,true,https://agriculture.bf/*,Ministère en charge de l'Agriculture (Burkina Faso),Burkina Faso,"extension, policy, campaigns, official guidance","mil, sorgho, mais, niébé, arachide",unknown,"Alternate host without www; same review rules as ministry primary domain."
inera_burkina,true,https://www.inera.bf/*,INERA,Burkina Faso,"research, varieties, agronomy, soil, pests","mil, sorgho, mais, niébé, arachide",unknown,"National agricultural research institute. Prefer reviewed PDFs/manuals over news posts."
inera_org,true,https://www.inera.org/*,INERA,Burkina Faso,"research, varieties, agronomy",,unknown,"Alternate INERA domain if used for publications; verify URL still resolves before scraping."
wascal_org,true,https://wascal.org/*,WASCAL,West Africa,"climate, adaptation, agriculture, weather risk",,unknown,"WASCAL climate-agriculture resources; regional context, not plot-level doses."
wascal_www,true,https://www.wascal.org/*,WASCAL,West Africa,"climate, adaptation, agriculture, weather risk",,unknown,"WASCAL with www prefix."
agrhymet_cilss,true,https://www.agrhymet.ne/*,AGRHYMET / CILSS,Sahel,"climate, agro-meteorology, early warning, rainfall",,unknown,"AGRHYMET regional centre. Use for climate/seasonal context; not chemical prescriptions."
cilss_int,true,https://www.cilss.int/*,CILSS,Sahel,"food security, climate, regional policy",,unknown,"CILSS regional body; policy and food-security context only after human review."
